parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
3,4,5289,-1,0.95,1.1,3,5.289,1
3,5,3754,1,1.1,0.5,3,3.754,1
3,6,3146,-1,0.35,1.1,3,3.146,1
3,7,2635,1,1.7,1.4,3,2.635,1
3,8,3422,-1,0,0.5,3,3.422,1
3,9,9677,1,2.45,1.1,3,9.677,1
3,10,2342,-1,0,0.05,3,2.342,1
3,11,2643,1,1.25,0.5,3,2.643,1
3,12,2593,-1,0.95,1.55,3,2.593,1
3,13,2975,-1,0,0.05,3,2.975,1
3,14,3094,-1,0.95,1.1,3,3.094,1
3,15,2419,1,0.65,0,3,2.419,1
3,16,9847,1,1.4,0.95,3,9.847,1
3,17,2667,1,0.95,0.05,3,2.667,1
3,18,2451,1,0.65,0,3,2.451,1
3,19,1832,-1,0,0.05,3,1.832,1
3,20,4519,-1,0.05,0.95,3,4.519,1
3,21,2357,-1,0.05,1.1,3,2.357,1
3,22,2320,-1,0.35,0.8,3,2.32,1
3,23,3029,-1,0.35,1.55,3,3.029,1
3,24,3476,-1,0.65,1.7,3,3.476,1
3,25,2531,1,0.95,0,3,2.531,1
3,26,4449,-1,0.8,0.95,3,4.449,1
3,27,2778,1,1.4,0,3,2.778,1
3,28,3198,1,1.25,0,3,3.198,1
3,29,2604,1,0.95,0,3,2.604,1
3,30,1736,-1,0,1.55,3,1.736,1
3,31,1528,-1,0,1.1,3,1.528,1
3,32,7987,-1,0,0,3,7.987,1
3,33,1808,-1,0.05,0.65,3,1.808,1
3,34,7586,1,0.95,0.95,3,7.586,1
3,35,2152,1,0.95,0,3,2.152,1
3,36,5162,1,0.95,1.25,3,5.162,0
3,37,4705,1,0.95,0.05,3,4.705,1
3,38,8093,-1,0.95,2.3,3,8.093,1
3,39,8516,-1,0.35,0.8,3,8.516,1
3,40,8523,1,1.55,1.1,3,8.523,1
3,41,2491,1,0.95,0.05,3,2.491,1
3,42,2304,-1,0,0.65,3,2.304,1
3,43,2587,1,1.4,0.05,3,2.587,1
3,44,2710,1,2.3,0.65,3,2.71,1
3,45,4325,1,0.65,0.05,3,4.325,1
3,46,2295,1,0.65,0.05,3,2.295,1
3,47,2445,-1,0.8,0.65,3,2.445,0
3,48,3839,1,1.55,0.95,3,3.839,1
3,49,2748,1,1.55,0.35,3,2.748,1
3,50,2838,1,0.65,0.5,3,2.838,1
3,51,5352,1,1.55,2.45,3,5.352,0
3,52,3472,-1,0.65,1.4,3,3.472,1
3,53,1811,-1,0.8,0.8,3,1.811,1
3,54,3039,1,0.5,0,3,3.039,1
3,55,2841,1,0.35,0.05,3,2.841,1
3,56,11103,1,0.8,0.35,3,11.103,1
3,57,1573,-1,0.65,2.45,3,1.573,1
3,58,1916,1,1.55,0,3,1.916,1
3,59,3020,1,0.05,0,3,3.02,1
3,60,3972,1,2.3,0.95,3,3.972,1
3,61,3019,-1,0.8,0.95,3,3.019,1
3,62,6740,1,0.5,1.1,3,6.74,0
3,63,2329,1,0.95,0.8,3,2.329,1
3,64,4697,-1,1.1,2.45,3,4.697,1
3,65,6004,-1,0.35,0.8,3,6.004,1
3,66,2018,1,1.1,0,3,2.018,1
3,67,2470,1,0.2,1.55,3,2.47,0
3,68,2635,1,1.25,1.4,3,2.635,0
3,69,1999,1,1.1,0.05,3,1.999,1
3,70,3486,-1,0.65,1.1,3,3.486,1
3,71,1772,1,1.1,0.95,3,1.772,1
3,72,3926,1,0.95,0.05,3,3.926,1
3,73,2001,-1,0,0.95,3,2.001,1
3,74,2195,-1,1.4,1.7,3,2.195,1
3,75,2002,-1,0,1.4,3,2.002,1
3,76,1932,1,0.05,0,3,1.932,1
3,77,2868,1,0.65,2.45,3,2.868,0
3,78,2314,-1,0.2,0.65,3,2.314,1
3,79,2149,1,0.95,1.55,3,2.149,0
3,80,4482,1,0.05,0.65,3,4.482,0
3,81,2049,1,0.65,0.8,3,2.049,0
3,82,2621,-1,1.1,0.65,3,2.621,0
3,83,3313,-1,1.1,0.95,3,3.313,0
3,84,1616,-1,1.55,0.95,3,1.616,0
3,85,1869,1,2.45,0.65,3,1.869,1
3,86,4355,1,0.8,0.35,3,4.355,1
3,87,1976,-1,0.05,0.95,3,1.976,1
3,88,1653,-1,0.05,0.95,3,1.653,1
3,89,2198,-1,0.5,1.25,3,2.198,1
3,90,1692,1,0.8,0.35,3,1.692,1
3,91,1836,-1,0,0.95,3,1.836,1
3,92,1472,1,0.8,0.8,3,1.472,1
3,93,4448,1,2.45,0.65,3,4.448,1
3,94,1249,-1,0.05,1.55,3,1.249,1
3,95,5278,-1,0.5,0.65,3,5.278,1
3,96,2021,-1,0,0.95,3,2.021,1
3,97,7385,1,0.95,0.8,3,7.385,1
3,98,2576,-1,1.25,0.95,3,2.576,0
3,99,1866,1,0.65,0.05,3,1.866,1
3,100,4400,1,0.95,1.1,3,4.4,0
3,101,1694,1,0.05,0,3,1.694,1
3,102,2222,1,2.45,1.55,3,2.222,1
3,103,1475,-1,0.05,1.4,3,1.475,1
3,104,4503,-1,1.1,1.55,3,4.503,1
3,105,1636,1,0.65,0.2,3,1.636,1
3,106,1509,-1,0,0.65,3,1.509,1
3,107,1361,-1,1.55,0.2,3,1.361,0
3,108,1715,-1,0.05,0.35,3,1.715,1
3,109,2088,1,1.4,0.65,3,2.088,1
3,110,1992,1,1.1,0.35,3,1.992,1
3,111,2412,1,1.7,0.65,3,2.412,1
3,112,2200,1,0.95,0,3,2.2,1
3,113,3664,-1,0.65,2.3,3,3.664,1
3,114,9602,1,1.4,1.25,3,9.602,1
3,115,2676,-1,0.95,1.4,3,2.676,1
3,116,1788,1,0,0,3,1.788,1
3,117,1656,-1,0,1.25,3,1.656,1
