Subject,Included,Session,Item_ID,Item,Onset,Size,Value,Confidence,Match,Familiarity,Consumption_rate,RT1,RT2,Age,Years_in_UK,Grams,Energy,Fat,of_which_saturates,Carbohydrate,of_which_sugars,Fibre,Protein,Salt,Size1,Size2,Size3,Real_price,Assigned_price
1,0,1,41,41_eat_natural_almond_apricot_1.png,199.3,0.1133333,       NaN,4.3,NaN,NaN,NaN,2.466,1.633,NaN,NaN,50,226,12.6,8.8,24.8,7.7,2.2,2.9,0.01,16,4,2,£0.66 ,NaN
1,0,1,28,28_hobnob_flapjack_1.png,203.4,0.08333333,       NaN,NaN,4.45,NaN,NaN,3.365,1.8497,NaN,NaN,34,443,17.8,8.9,61.9,34.7,4.9,6.2,0.52,12,3,1.5,£0.13 ,NaN
1,0,1,30,30_cookies_1.png,207.3,0.08166667,       NaN,5.4,NaN,NaN,NaN,4.1493,2.2996,NaN,NaN,150,442,15,8.5,63,38,5.1,6.2,0.5,8.5,16,7,£2.29 ,NaN
1,0,1,12,12_sunbites_popcorn_1.png,211.1,0.2516667,       NaN,NaN,4.15,NaN,NaN,3.5827,1.7324,NaN,NaN,14,424,10.4,0.9,67.5,24.7,12.8,6.3,1.49,17,14,3,£0.20 ,NaN
1,0,1,48,48_bg_dark_1.png,214.9,0.09,       NaN,NaN,4.9,NaN,NaN,4.9826,1.4664,NaN,NaN,100,630,53.5,32,22.5,13.5,11.5,9.4,0.13,7,15,1,£2.00 ,NaN
1,0,1,46,46_toblerone_1.png,219,0.09666667,       NaN,2.7,NaN,NaN,NaN,3.9492,3.0663,NaN,NaN,150,535,29.5,18,60.5,59.5,2.2,5.6,0.15,28,4.5,4.5,£1.00 ,NaN
1,0,1,38,38_gb_ginger_1.png,223.2,0.2016667,       NaN,NaN,4.55,NaN,NaN,4.7649,1.8997,NaN,NaN,100,510,29.5,17.5,51.5,46.5,7,6.1,0.1,7,15,1,£2.00 ,NaN
1,0,1,13,13_lindt_vanilla_1.png,227,0.1683333,       NaN,5.45,NaN,NaN,NaN,3.5326,2.4163,NaN,NaN,100,571,36,22,57,57,NA,4.8,0,9,19,1,£1.99 ,NaN
1,0,1,36,36_jelly_babies_berry_mix_1.png,230.8,0.05333333,       NaN,NaN,5,NaN,NaN,3.266,1.8497,NaN,NaN,190,330,0,0,78.5,74,NA,3.5,0.03,20,13,2.5,£1.00 ,NaN
1,0,1,49,49_mccoys_salt_and_vinegar_crisps_1.png,234.6,0.1466667,       NaN,2.6,NaN,NaN,NaN,4.7493,2.0663,NaN,NaN,28.5,529,31,2.8,54,2.2,3.9,6.5,2,13,16,2.5,£0.28 ,NaN
1,0,1,17,17_fruit_pastilles_1.png,238.7,0.075,       NaN,NaN,5.45,NaN,NaN,4.3159,1.933,NaN,NaN,52.5,352,0.1,0,82.6,55.9,0.1,4.1,0.3,13.5,1.5,1.5,£0.38 ,NaN
1,0,1,3,3_nestle_rolo_1.png,242.5,0.115,       NaN,4.5,NaN,NaN,NaN,4.9826,3.9829,NaN,NaN,52,477,20.4,11.7,68.4,58.7,1.2,4.4,0.3,13,2,2,£0.38 ,NaN
1,0,1,29,29_mms_plain_1.png,246.4,0.07666667,       NaN,4.1,NaN,NaN,NaN,4.9826,1.2997,NaN,NaN,165,511,25.3,10.3,59.2,53.8,NA,9.7,0.09,13,17,5,£1.00 ,NaN
1,0,1,62,62_mcvities_digestives_1.png,250.5,0.08666667,       NaN,NaN,5.5,NaN,NaN,3.9326,3.3829,NaN,NaN,500,481,21.3,10.1,62.9,16.6,3.6,7.2,1.3,29,7,7,£0.96 ,NaN
1,0,1,54,54_guylian_1.png,254.6,0.3733333,       NaN,NaN,4.15,NaN,NaN,4.9826,3.4663,NaN,NaN,42,550,34,16,52,51,NA,7.6,0.21,9.5,9.5,3,£1.00 ,NaN
1,0,1,4,4_smarties_1.png,258.4,0.13,       NaN,5.1,NaN,NaN,NaN,4.0993,1.5829,NaN,NaN,38,462,18.4,10.5,68.8,63.4,0.9,4.8,0.15,11,2.5,2.5,£0.38 ,NaN
1,0,1,60,60_kinder_chocolate_1.png,262.6,0.1333333,       NaN,3.75,NaN,NaN,NaN,2.9828,0.76641,NaN,NaN,100,566,35,22.6,53.5,53.3,NA,8.7,0.31,15,8,1,£1.00 ,NaN
1,0,1,9,9_mega_monster_munch_1.png,266.5,0.03666667,       NaN,NaN,4.45,NaN,NaN,3.116,1.1164,NaN,NaN,22,492,25,2.1,59,3,1.5,7,1.7,15,13,4,£0.17 ,NaN
1,0,1,52,52_walkers_french_fries_1.png,270.5,0.1383333,       NaN,NaN,4.05,NaN,NaN,4.6326,1.1997,NaN,NaN,18,434,16,1.4,65,1.1,5,5,2.5,15,11,4,£0.18 ,NaN
1,0,1,67,67_nestle_aero_1.png,274.4,0.08166667,       NaN,NaN,4.25,NaN,NaN,2.616,1.1664,NaN,NaN,27,539,30.8,17.6,57.8,56.2,2.2,6.5,0.21,16,3,2,£0.38 ,NaN
1,0,1,40,40_food_doctor_roasted_beans_1.png,278.6,0.1116667,       NaN,NaN,4.85,NaN,NaN,3.266,1.983,NaN,NaN,200,437,20.2,4,21.3,3.8,18.2,33.4,0.58,10,18,5,£2.50 ,NaN
1,0,1,2,2_starburst_original_1.png,282.7,0.03166667,       NaN,NaN,4.9,NaN,NaN,2.9994,1.2998,NaN,NaN,45,404,7.3,4.1,83.6,82.8,NA,0,0,16,2,2,£0.34 ,NaN
1,0,2,69,69_nestle_lion_1.png,8.2,       NaN,1.333333,2.1,NaN,NaN,NaN,4.445,2.283,NaN,NaN,42,483,22.2,11.9,64.6,44.8,1.5,5.4,0.45,15,3.5,2,£0.25 ,NaN
1,0,2,13,13_lindt_vanilla_1.png,12.3,       NaN,1.586667,4.5,NaN,NaN,NaN,3.3826,1.0497,NaN,NaN,100,571,36,22,57,57,NA,4.8,0,9,19,1,£1.99 ,NaN
1,0,2,24,24_wonderful_almonds_1.png,16.4,       NaN,0.1066667,5.55,NaN,NaN,NaN,3.7493,3.3829,NaN,NaN,115,616,52.1,4,10.3,4.9,NA,21.1,0.8,12,17,2,£2.29 ,NaN
1,0,2,31,31_nuts_raisins_1.png,20.8,       NaN,0.6533333,4.95,NaN,NaN,NaN,3.7817,2.2163,NaN,NaN,200,540,33.9,21,49.3,46.9,2.1,8.3,0.25,7,18,5,£3.80 ,NaN
1,0,2,30,30_cookies_1.png,24.5,       NaN,0.9066667,3.95,NaN,NaN,NaN,3.7994,3.9829,NaN,NaN,150,442,15,8.5,63,38,5.1,6.2,0.5,8.5,16,7,£2.29 ,NaN
1,0,2,68,68_cadbury_fudge_1.png,28.3,       NaN,0.9466667,5,NaN,NaN,NaN,2.816,1.1498,NaN,NaN,25.5,445,15,8.2,74.5,64.5,0.5,2.5,0.35,13,2,1,£0.21 ,NaN
1,0,2,39,39_mentos_mint_1.png,32.4,       NaN,0.4266667,NaN,4,NaN,NaN,3.7993,1.6163,NaN,NaN,38,390,1.9,1.9,93,69,NA,0,0.1,14,1.5,1.5,£0.30 ,NaN
1,0,2,16,16_raisins_1.png,36.4,       NaN,2.2,NaN,5.45,NaN,NaN,4.3326,1.4997,NaN,NaN,42.5,293,0.4,0.1,69.3,69.3,2,2.1,0.2,5.5,7,2,£1.00 ,NaN
1,0,2,9,9_mega_monster_munch_1.png,40.4,       NaN,2.066667,2.25,NaN,NaN,NaN,4.5659,2.4663,NaN,NaN,22,492,25,2.1,59,3,1.5,7,1.7,15,13,4,£0.17 ,NaN
1,0,2,10,10_doritos_chilli_1.png,44.5,       NaN,2.306667,NaN,5.15,NaN,NaN,1.7994,1.7163,NaN,NaN,30,495,25.3,2,57.3,5.8,6.7,6.3,1.35,17,13,3,£0.25 ,NaN
1,0,2,25,25_mars_1.png,48.3,       NaN,1.24,4.75,NaN,NaN,NaN,4.3659,2.833,NaN,NaN,39.4,448,16.7,8.1,69.3,59.9,NA,4.4,0.42,13,3,2,£0.38 ,NaN
1,0,2,48,48_bg_dark_1.png,52.5,       NaN,2.493333,4.85,NaN,NaN,NaN,2.3494,1.4491,NaN,NaN,100,630,53.5,32,22.5,13.5,11.5,9.4,0.13,7,15,1,£2.00 ,NaN
1,0,2,37,37_dairy_milk_fruit_and_nut_1.png,56.5,       NaN,2.56,4.8,NaN,NaN,NaN,1.0327,1.3664,NaN,NaN,110,495,26,14.5,55.5,54.5,1.3,8.3,0.2,19,8,1,£1.50 ,NaN
1,0,2,20,20_sour_cream_and_chive_rice_crisps_1.png,60.3,       NaN,1.56,NaN,5.55,NaN,NaN,3.316,1.983,NaN,NaN,22,416,7.6,0.9,78.4,6.5,1.3,7.8,2.75,12,15,3,£0.41 ,NaN
1,0,2,49,49_mccoys_salt_and_vinegar_crisps_1.png,64.5,       NaN,0.9733333,NaN,2.15,NaN,NaN,2.466,3.8829,NaN,NaN,28.5,529,31,2.8,54,2.2,3.9,6.5,2,13,16,2.5,£0.28 ,NaN
1,0,2,2,2_starburst_original_1.png,68.3,       NaN,1.733333,4.35,NaN,NaN,NaN,2.4994,2.0497,NaN,NaN,45,404,7.3,4.1,83.6,82.8,NA,0,0,16,2,2,£0.34 ,NaN
1,0,2,60,60_kinder_chocolate_1.png,72.2,       NaN,0.7733333,NaN,3.9,NaN,NaN,3.716,2.4497,NaN,NaN,100,566,35,22.6,53.5,53.3,NA,8.7,0.31,15,8,1,£1.00 ,NaN
1,0,2,5,5_cadbury_wispa_1.png,76,       NaN,1.2,4.95,NaN,NaN,NaN,4.4826,1.4331,NaN,NaN,30,550,34,21,52.5,52.5,1,7.3,0.23,13,3.5,2,£0.25 ,NaN
1,0,2,21,21_pistachios_1.png,80,       NaN,1.88,4.5,NaN,NaN,NaN,2.4827,1.2497,NaN,NaN,100,577,46,5.9,10,7.2,11.6,25,1.3,14,16,3,£2.40 ,NaN
1,0,2,66,66_frys_turkish_delight_1.png,84.2,       NaN,0,NaN,4.35,NaN,NaN,1.6495,1.683,NaN,NaN,51,363,6.7,3.8,74,64,1.2,1.2,0.36,10,4.5,1.5,£0.33 ,NaN
1,0,2,35,35_gb_butterscotch_1.png,88.6,       NaN,2.08,4.2,NaN,NaN,NaN,2.1494,1.2997,NaN,NaN,100,555,34.5,20.5,50.5,47.5,2.7,8.8,0.25,7,15,1,£2.00 ,NaN
1,0,2,59,59_sour_patch_kids_1.png,92.2,       NaN,0.4933333,4.75,NaN,NaN,NaN,3.2995,0.74973,NaN,NaN,160,326,0.1,<_0.1,77,63,NA,2.8,0.03,14,19,2,£1.00 ,NaN
1,0,2,36,36_jelly_babies_berry_mix_1.png,96.1,       NaN,2,NaN,4.4,NaN,NaN,3.6493,2.2164,NaN,NaN,190,330,0,0,78.5,74,NA,3.5,0.03,20,13,2.5,£1.00 ,NaN
1,0,2,42,42_bassetts_licorice_allsorts_1.png,100.1,       NaN,0.2666667,NaN,2.2,NaN,NaN,2.6327,2.683,NaN,NaN,190,380,4.2,3.5,79,62,NA,5.6,0.1,13,18,3,£1.00 ,NaN
1,0,2,40,40_food_doctor_roasted_beans_1.png,103.9,       NaN,0.9866667,NaN,4.55,NaN,NaN,4.8993,2.883,NaN,NaN,200,437,20.2,4,21.3,3.8,18.2,33.4,0.58,10,18,5,£2.50 ,NaN
1,0,2,15,15_hovis_crackers_1.png,107.8,       NaN,2.106667,3.8,NaN,NaN,NaN,2.6827,1.6997,NaN,NaN,150,447,17.9,8.1,58.4,6.1,6.1,10.2,2.5,12,8,7,£1.49 ,NaN
1,0,2,3,3_nestle_rolo_1.png,112.1,       NaN,2.306667,NaN,4.85,NaN,NaN,1.2494,2.283,NaN,NaN,52,477,20.4,11.7,68.4,58.7,1.2,4.4,0.3,13,2,2,£0.38 ,NaN
1,0,2,12,12_sunbites_popcorn_1.png,115.8,       NaN,1.226667,4.95,NaN,NaN,NaN,3.066,1.6165,NaN,NaN,14,424,10.4,0.9,67.5,24.7,12.8,6.3,1.49,17,14,3,£0.20 ,NaN
1,0,2,52,52_walkers_french_fries_1.png,120,       NaN,2.253333,NaN,5.1,NaN,NaN,4.3159,3.083,NaN,NaN,18,434,16,1.4,65,1.1,5,5,2.5,15,11,4,£0.18 ,NaN
1,0,2,6,6_nestle_aero_mint_1.png,124,       NaN,1.066667,4.1,NaN,NaN,NaN,4.216,2.7163,NaN,NaN,27,539,30.1,17.9,60.8,60,1.1,5.4,0.28,16,3,2,£0.38 ,NaN
1,0,2,14,14_bounty_1.png,127.9,       NaN,0.92,3.75,NaN,NaN,NaN,2.1827,1.5497,NaN,NaN,28.5,487,25.7,21.2,58.9,48.2,NA,3.7,0.25,15,3,2,£0.21 ,NaN
1,0,2,11,11_walkers_baked_crisps_1.png,132.2,       NaN,1.92,NaN,4.65,NaN,NaN,3.366,2.733,NaN,NaN,25,417,8.3,0.9,76.2,5,4.8,6.2,1.14,13,15,2.5,£0.17 ,NaN
1,0,2,45,45_kitkat_1.png,136.2,       NaN,1.306667,4.45,NaN,NaN,NaN,3.266,2.3163,NaN,NaN,41.5,511,24.8,13.8,65.1,52.7,2,5.8,0.2,6,11.5,1,£0.31 ,NaN
1,0,2,22,22_kellogs_strawberry_bars_1.png,140,       NaN,0.04,6,NaN,NaN,NaN,3.0327,1.583,NaN,NaN,21.5,392,7.9,4.7,70,30,8.8,6.3,0.63,15,4,2,£0.30 ,NaN
