Participant,Session,Choice,RT,ChosenValue,UnchosenValue,DiffValue,AbsDiffValue,TotalValue,ChosenFam,UnchosenFam,DiffFam,AbsDiffFam,TotalFam,Confidence,zRT,zChosenValue,zUnchosenValue,zDiffValue,zAbsDiffValue,zTotalValue,zChosenFam,zUnchosenFam,zDiffFam,zAbsDiffFam,zTotalFam,zConfidence
1,1,0,918,1.5,0.996,0.504,0.504,2.496,6,6,0,0,12,411.6,-0.27794,0.81712,1.2411,0.6096,0.6096,1.2932,0.32043,0.28367,0.035005,0.035005,0.4132,-1.3271
1,1,0,968,0.492,0,0.492,0.492,0.492,6,5,1,1,11,500,-0.010266,-1.0833,-0.99316,0.59593,0.59593,-1.3333,0.32043,-2.7303,1.5227,1.5227,-1.0502,1.6028
1,1,0,935,0.516,0,0.516,0.516,0.516,6,6,0,0,12,467.19,-0.18693,-1.038,-0.99316,0.62327,0.62327,-1.3019,0.32043,0.28367,0.035005,0.035005,0.4132,0.51527
1,1,1,984,0.456,0.48,0.024,0.024,0.936,6,6,0,0,12,425.81,0.07539,-1.1512,0.083608,0.062874,0.062874,-0.75141,0.32043,0.28367,0.035005,0.035005,0.4132,-0.85615
1,1,0,939,1.008,1.752,-0.744,0.744,2.76,4,6,-2,2,10,442.41,-0.16552,-0.11046,2.9371,-0.81189,0.81189,1.6392,-3.0841,0.28367,-2.9404,2.9404,-2.5136,-0.30591
1,1,0,664,1.512,0.48,1.032,1.032,1.992,6,6,0,0,12,472.57,-1.6377,0.83975,0.083608,1.211,1.211,0.63262,0.32043,0.28367,0.035005,0.035005,0.4132,0.69385
1,1,0,865,1.752,0.456,1.296,1.296,2.208,6,6,0,0,12,471.4,-0.56168,1.2922,0.02977,1.5117,1.5117,0.91571,0.32043,0.28367,0.035005,0.035005,0.4132,0.65483
1,1,1,721,1.512,0.996,-0.516,0.516,2.508,6,6,0,0,12,450.54,-1.3326,0.83975,1.2411,-0.5522,0.5522,1.3089,0.32043,0.28367,0.035005,0.035005,0.4132,-0.036468
1,1,0,933,0.504,0.24,0.264,0.264,0.744,6,6,0,0,12,446.09,-0.19764,-1.0607,-0.45478,0.33624,0.33624,-1.003,0.32043,0.28367,0.035005,0.035005,0.4132,-0.18405
1,1,1,964,1.008,0,-1.008,1.008,1.008,6,6,0,0,12,434.3,-0.03168,-0.11046,-0.99316,-1.1126,1.1126,-0.65704,0.32043,0.28367,0.035005,0.035005,0.4132,-0.57459
1,1,1,836,0,0,0,0,0,6,5,-1,1,11,477.75,-0.71693,-2.0109,-0.99316,0.035537,0.035537,-1.9782,0.32043,-2.7303,-1.4527,1.4527,-1.0502,0.86524
1,1,1,863,1.5,0.48,-1.02,1.02,1.98,6,6,0,0,12,467.95,-0.57238,0.81712,0.083608,-1.1263,1.1263,0.61689,0.32043,0.28367,0.035005,0.035005,0.4132,0.5406
1,1,1,953,0.996,0.516,-0.48,0.48,1.512,6,6,0,0,12,458.53,-0.090568,-0.13308,0.16437,-0.51119,0.51119,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,0.2283
1,1,1,925,1.5,1.008,-0.492,0.492,2.508,6,6,0,0,12,448.56,-0.24047,0.81712,1.2681,-0.52486,0.52486,1.3089,0.32043,0.28367,0.035005,0.035005,0.4132,-0.10218
1,1,0,704,0.996,0,0.996,0.996,0.996,6,6,0,0,12,467.21,-1.4236,-0.13308,-0.99316,1.17,1.17,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,0.51603
1,1,0,693,2.004,1.5,0.504,0.504,3.504,6,6,0,0,12,469.87,-1.4825,1.7673,2.3718,0.6096,0.6096,2.6143,0.32043,0.28367,0.035005,0.035005,0.4132,0.60423
1,1,0,1070,1.008,1.512,-0.504,0.504,2.52,4,6,-2,2,10,459.91,0.53579,-0.11046,2.3987,-0.53853,0.53853,1.3246,-3.0841,0.28367,-2.9404,2.9404,-2.5136,0.27403
1,1,1,1032,1.5,0,-1.5,1.5,1.5,6,6,0,0,12,445.97,0.33236,0.81712,-0.99316,-1.673,1.673,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,-0.1878
1,1,0,1175,0.996,0,0.996,0.996,0.996,6,6,0,0,12,450.21,1.0979,-0.13308,-0.99316,1.17,1.17,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,-0.047479
1,1,0,925,1.5,0.24,1.26,1.26,1.74,6,6,0,0,12,451.19,-0.24047,0.81712,-0.45478,1.4707,1.4707,0.30234,0.32043,0.28367,0.035005,0.035005,0.4132,-0.01484
1,1,0,844,1.5,0.456,1.044,1.044,1.956,6,6,0,0,12,464.12,-0.6741,0.81712,0.02977,1.2247,1.2247,0.58543,0.32043,0.28367,0.035005,0.035005,0.4132,0.41366
1,1,0,1086,1.008,0.492,0.516,0.516,1.5,6,6,0,0,12,500,0.62145,-0.11046,0.11053,0.62327,0.62327,-0.012212,0.32043,0.28367,0.035005,0.035005,0.4132,1.6028
1,1,0,1229,1.5,1.008,0.492,0.492,2.508,6,6,0,0,12,452,1.387,0.81712,1.2681,0.59593,0.59593,1.3089,0.32043,0.28367,0.035005,0.035005,0.4132,0.01197
1,1,1,1102,0.504,0.492,-0.012,0.012,0.996,6,6,0,0,12,417.25,0.7071,-1.0607,0.11053,0.021869,0.021869,-0.67277,0.32043,0.28367,0.035005,0.035005,0.4132,-1.1396
1,1,0,1011,0.24,0,0.24,0.24,0.24,6,6,0,0,12,429.27,0.21993,-1.5584,-0.99316,0.3089,0.3089,-1.6636,0.32043,0.28367,0.035005,0.035005,0.4132,-0.74127
1,1,1,965,1.008,0.504,-0.504,0.504,1.512,6,6,0,0,12,455.01,-0.026327,-0.11046,0.13745,-0.53853,0.53853,0.0035156,0.32043,0.28367,0.035005,0.035005,0.4132,0.11177
1,1,0,890,0.456,0,0.456,0.456,0.456,6,6,0,0,12,459.95,-0.42784,-1.1512,-0.99316,0.55493,0.55493,-1.3805,0.32043,0.28367,0.035005,0.035005,0.4132,0.27548
1,1,0,979,1.008,0.516,0.492,0.492,1.524,6,6,0,0,12,450.04,0.048622,-0.11046,0.16437,0.59593,0.59593,0.019243,0.32043,0.28367,0.035005,0.035005,0.4132,-0.052853
1,1,1,940,0.996,0.456,-0.54,0.54,1.452,6,6,0,0,12,443.87,-0.16016,-0.13308,0.02977,-0.57953,0.57953,-0.075122,0.32043,0.28367,0.035005,0.035005,0.4132,-0.25745
1,2,0,1025,1.512,0.492,1.02,1.02,2.004,6,6,0,0,12,444.54,0.39133,0.54016,0.0066726,1.0079,1.0079,0.35275,0.2978,0.39996,0.04939,0.04939,0.48772,0.44085
1,2,0,981,0.24,0,0.24,0.24,0.24,6,5,1,1,11,500,0.21234,-1.4577,-0.85458,0.21113,0.21113,-1.4368,0.2978,-1.8665,1.4488,1.4488,-0.9418,1.1357
1,2,0,990,0.48,0,0.48,0.48,0.48,6,5,1,1,11,392.94,0.24895,-1.0808,-0.85458,0.45629,0.45629,-1.1933,0.2978,-1.8665,1.4488,1.4488,-0.9418,-0.20582
1,2,0,816,1.5,0.504,0.996,0.996,2.004,6,6,0,0,12,461.18,-0.45886,0.52131,0.027679,0.98338,0.98338,0.35275,0.2978,0.39996,0.04939,0.04939,0.48772,0.64925
1,2,1,828,1.752,0,-1.752,1.752,1.752,6,6,0,0,12,393.19,-0.41004,0.91712,-0.85458,-1.8237,1.8237,0.097102,0.2978,0.39996,0.04939,0.04939,0.48772,-0.20261
1,2,1,690,1.512,0,-1.512,1.512,1.512,6,6,0,0,12,467.71,-0.97141,0.54016,-0.85458,-1.5785,1.5785,-0.14637,0.2978,0.39996,0.04939,0.04939,0.48772,0.73114
1,2,0,727,1.5,0,1.5,1.5,1.5,6,6,0,0,12,446.41,-0.8209,0.52131,-0.85458,1.4982,1.4982,-0.15854,0.2978,0.39996,0.04939,0.04939,0.48772,0.46427
1,2,0,904,0.504,0,0.504,0.504,0.504,6,6,0,0,12,403.55,-0.10088,-1.0431,-0.85458,0.4808,0.4808,-1.1689,0.2978,0.39996,0.04939,0.04939,0.48772,-0.072782
1,2,0,888,1.752,0,1.752,1.752,1.752,6,5,1,1,11,500,-0.16597,0.91712,-0.85458,1.7556,1.7556,0.097102,0.2978,-1.8665,1.4488,1.4488,-0.9418,1.1357
1,2,1,796,2.004,0,-2.004,2.004,2.004,6,6,0,0,12,456.58,-0.54021,1.3129,-0.85458,-2.0811,2.0811,0.35275,0.2978,0.39996,0.04939,0.04939,0.48772,0.59162
1,2,0,735,2.004,1.5,0.504,0.504,3.504,6,6,0,0,12,474.04,-0.78835,1.3129,1.7712,0.4808,0.4808,1.8744,0.2978,0.39996,0.04939,0.04939,0.48772,0.81048
1,2,0,783,1.752,0,1.752,1.752,1.752,6,6,0,0,12,408.14,-0.59309,0.91712,-0.85458,1.7556,1.7556,0.097102,0.2978,0.39996,0.04939,0.04939,0.48772,-0.015278
1,2,0,1272,0.456,0.516,-0.06,0.06,0.972,6,6,0,0,12,294.08,1.3961,-1.1185,0.048685,-0.095324,0.095324,-0.69418,0.2978,0.39996,0.04939,0.04939,0.48772,-1.4445
1,2,0,1045,0.996,0.48,0.516,0.516,1.476,6,6,0,0,12,424.45,0.47269,-0.2703,-0.014334,0.49306,0.49306,-0.18289,0.2978,0.39996,0.04939,0.04939,0.48772,0.18903
1,2,0,907,1.5,0.48,1.02,1.02,1.98,6,6,0,0,12,500,-0.088679,0.52131,-0.014334,1.0079,1.0079,0.3284,0.2978,0.39996,0.04939,0.04939,0.48772,1.1357
1,2,1,750,1.512,1.752,0.24,0.24,3.264,6,6,0,0,12,455.88,-0.72733,0.54016,2.2123,0.21113,0.21113,1.631,0.2978,0.39996,0.04939,0.04939,0.48772,0.58289
1,2,1,733,1.5,0,-1.5,1.5,1.5,6,6,0,0,12,435.38,-0.79649,0.52131,-0.85458,-1.5663,1.5663,-0.15854,0.2978,0.39996,0.04939,0.04939,0.48772,0.32602
1,2,1,1234,1.008,0,-1.008,1.008,1.008,6,6,0,0,12,344.13,1.2415,-0.25145,-0.85458,-1.0637,1.0637,-0.65766,0.2978,0.39996,0.04939,0.04939,0.48772,-0.81739
1,2,0,725,0,0,0,0,0,6,5,1,1,11,500,-0.82903,-1.8347,-0.85458,-0.034034,0.034034,-1.6802,0.2978,-1.8665,1.4488,1.4488,-0.9418,1.1357
1,2,1,1050,0.516,0.492,-0.024,0.024,1.008,6,6,0,0,12,443.37,0.49303,-1.0242,0.0066726,-0.05855,0.05855,-0.65766,0.2978,0.39996,0.04939,0.04939,0.48772,0.4261
1,2,1,881,0.996,0,-0.996,0.996,0.996,6,5,-1,1,11,443.05,-0.19444,-0.2703,-0.85458,-1.0515,1.0515,-0.66983,0.2978,-1.8665,-1.35,1.35,-0.9418,0.42214
1,2,0,1146,1.5,1.008,0.492,0.492,2.508,6,6,0,0,12,274.88,0.88354,0.52131,0.90994,0.46855,0.46855,0.86404,0.2978,0.39996,0.04939,0.04939,0.48772,-1.6852
1,2,1,1377,0,0,0,0,0,6,6,0,0,12,293.98,1.8232,-1.8347,-0.85458,-0.034034,0.034034,-1.6802,0.2978,0.39996,0.04939,0.04939,0.48772,-1.4458
1,2,0,1049,1.5,0.24,1.26,1.26,1.74,6,6,0,0,12,393.82,0.48896,0.52131,-0.43446,1.2531,1.2531,0.084928,0.2978,0.39996,0.04939,0.04939,0.48772,-0.19471
1,2,1,841,0,0,0,0,0,6,6,0,0,12,433.79,-0.35716,-1.8347,-0.85458,-0.034034,0.034034,-1.6802,0.2978,0.39996,0.04939,0.04939,0.48772,0.30615
1,2,1,1124,2.004,1.512,-0.492,0.492,3.516,6,6,0,0,12,156.04,0.79405,1.3129,1.7922,-0.53661,0.53661,1.8866,0.2978,0.39996,0.04939,0.04939,0.48772,-3.1742
1,2,0,1296,0.996,1.752,-0.756,0.756,2.748,6,6,0,0,12,370.79,1.4937,-0.2703,2.2123,-0.80629,0.80629,1.1075,0.2978,0.39996,0.04939,0.04939,0.48772,-0.48326
1,2,1,816,1.752,0.456,-1.296,1.296,2.208,6,6,0,0,12,362.11,-0.45886,0.91712,-0.056346,-1.3579,1.3579,0.5597,0.2978,0.39996,0.04939,0.04939,0.48772,-0.59209
1,2,1,672,1.008,0,-1.008,1.008,1.008,4,6,2,2,10,444.6,-1.0446,-0.25145,-0.85458,-1.0637,1.0637,-0.65766,-3.3184,0.39996,2.8482,2.8482,-2.3713,0.44158
1,2,0,725,2.004,0,2.004,2.004,2.004,6,6,0,0,12,463.07,-0.82903,1.3129,-0.85458,2.0131,2.0131,0.35275,0.2978,0.39996,0.04939,0.04939,0.48772,0.67299
1,2,0,710,1.5,0,1.5,1.5,1.5,6,6,0,0,12,477,-0.89005,0.52131,-0.85458,1.4982,1.4982,-0.15854,0.2978,0.39996,0.04939,0.04939,0.48772,0.84755
1,2,0,670,1.008,0,1.008,1.008,1.008,4,5,-1,1,9,449.31,-1.0528,-0.25145,-0.85458,0.99564,0.99564,-0.65766,-3.3184,-1.8665,-1.35,1.35,-3.8008,0.50055
1,2,0,738,1.5,1.5,0,0,3,6,6,0,0,12,432.63,-0.77615,0.52131,1.7712,-0.034034,0.034034,1.3632,0.2978,0.39996,0.04939,0.04939,0.48772,0.29156
