,Participant,Session,Choice,RT,ChosenValue,UnchosenValue,DiffValue,AbsDiffValue,TotalValue,ChosenFam,UnchosenFam,DiffFam,AbsDiffFam,TotalFam,Confidence,zRT,zChosenValue,zUnchosenValue,zDiffValue,zAbsDiffValue,zTotalValue,zChosenFam,zUnchosenFam,zDiffFam,zAbsDiffFam,zTotalFam,zConfidence,RVal,LVal,RFam,LFam,zRVal,zLVal,zRFam,zLFam,ConfSplit
5874,25,2,1,683,2.376,1.62,-0.7559999999999999,0.7559999999999999,3.9960000000000004,6,6,0,0,12,362.5,-0.6219600000000001,0.87326,0.55362,-0.90448,0.90448,0.91448,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,0.48788000000000004,2.376,1.62,6,6,1.3853473067326507,0.07779403460819224,0.7965201649360034,0.7911380633793905,0.0
5875,25,2,1,655,2.496,0.888,-1.608,1.608,3.384,6,4,0,0,10,500.0,-0.71562,1.0775,-0.92222,-1.9146,1.9146,0.20404,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,1.3414,2.496,0.888,6,4,1.5920974095722176,-1.1758565308726583,0.7965201649360034,-0.286965910764869,1.0
5876,25,2,1,710,2.364,0.8640000000000001,-1.5,1.5,3.228,6,1,-2,2,7,446.5,-0.53166,0.8528399999999999,-0.9706100000000001,-1.7865,1.7865,0.022944,0.50048,-1.4953,-3.0958,3.0958,-0.73,1.0093,2.364,0.8640000000000001,6,1,1.364672296448694,-1.2169598281015384,0.7965201649360034,-1.9041218719812583,1.0
5877,25,2,0,1415,1.7280000000000002,1.824,-0.096,0.096,3.552,2,6,0,0,8,45.108000000000004,1.8264,-0.22943000000000002,0.9649200000000001,-0.12201,0.12201,0.39905999999999997,-1.9656,1.0776,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,-1.4824,1.824,1.7280000000000002,6,2,0.4342968336706439,0.2627588721381539,0.7965201649360034,-1.3650698849091285,0.0
5878,25,2,1,679,2.364,0.9359999999999999,-1.4280000000000002,1.4280000000000002,3.3,6,6,0,0,12,448.29,-0.63534,0.8528399999999999,-0.82545,-1.7012,1.7012,0.10653,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.0204,2.364,0.9359999999999999,6,6,1.364672296448694,-1.0936499364148977,0.7965201649360034,0.7911380633793905,1.0
5879,25,2,0,780,1.9680000000000002,0.8640000000000001,1.104,1.104,2.832,6,1,2,2,7,403.2,-0.29752,0.17898,-0.9706100000000001,1.3006,1.3006,-0.43675,0.50048,-1.4953,2.8847,2.8847,-0.73,0.74051,0.8640000000000001,1.9680000000000002,1,6,-1.21970398904589,0.6737918444269573,-1.9008588796679922,0.7911380633793905,1.0
5880,25,2,1,1016,1.848,1.284,-0.564,0.564,3.1319999999999997,3,6,0,0,9,144.44,0.49183000000000004,-0.025225,-0.12382,-0.67685,0.67685,-0.08849800000000001,-1.3491,1.0776,-0.10554000000000001,0.10554000000000001,-0.032809,-0.86577,1.848,1.284,3,6,0.4756468542385573,-0.4976521265961326,-0.821907261826394,0.7911380633793905,0.0
5881,25,2,1,1118,0.9359999999999999,2.004,1.068,1.068,2.94,6,4,0,0,10,177.3,0.833,-1.5771,1.3278,1.258,1.258,-0.31138000000000005,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,-0.66176,0.9359999999999999,2.004,6,4,-1.0956539273421504,0.7354467902702775,0.7965201649360034,-0.286965910764869,0.0
5882,25,2,1,862,1.8719999999999999,1.62,-0.252,0.252,3.492,6,6,0,0,12,360.54,-0.023256,0.015615,0.55362,-0.30696,0.30696,0.32941,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,0.47568,1.8719999999999999,1.62,6,6,0.5169968748064703,0.07779403460819224,0.7965201649360034,0.7911380633793905,0.0
5883,25,2,1,816,2.376,0.7440000000000001,-1.632,1.632,3.12,6,2,0,0,8,390.07,-0.17711,0.87326,-1.2126,-1.943,1.943,-0.10243,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,0.659,2.376,0.7440000000000001,6,2,1.3853473067326507,-1.42247631424594,0.7965201649360034,-1.3650698849091285,1.0
5884,25,2,1,747,2.496,0.9359999999999999,-1.56,1.56,3.432,6,6,0,0,12,490.21,-0.4079,1.0775,-0.82545,-1.8577,1.8577,0.25976,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.2806,2.496,0.9359999999999999,6,6,1.5920974095722176,-1.0936499364148977,0.7965201649360034,0.7911380633793905,1.0
5885,25,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,-2.9064,-3.1699,-2.7126,-0.0082012,0.0082012,-3.7243,-3.1987,-2.0098,-0.10554000000000001,0.10554000000000001,-3.1702,-1.7624,0.0,0.0,0,0,-2.708304729490771,-2.6966785283412307,-2.4403346885887913,-2.4431738590533882,0.0
5886,25,2,0,1419,1.824,1.62,0.204,0.204,3.444,6,6,0,0,12,77.307,1.8398,-0.066065,0.55362,0.23365,0.23365,0.27369,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,-1.2825,1.62,1.824,6,6,0.08282165884338048,0.42717206105367506,0.7965201649360034,0.7911380633793905,0.0
5887,25,2,1,646,2.496,1.8719999999999999,-0.624,0.624,4.368,6,6,0,0,12,474.2,-0.7457199999999999,1.0775,1.0617,-0.74798,0.74798,1.3463,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.1812,2.496,1.8719999999999999,6,6,1.5920974095722176,0.5093786555114355,0.7965201649360034,0.7911380633793905,1.0
5888,25,2,1,924,2.376,1.8719999999999999,-0.504,0.504,4.248,6,6,0,0,12,453.39,0.18412,0.87326,1.0617,-0.60572,0.60572,1.207,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.0521,2.376,1.8719999999999999,6,6,1.3853473067326507,0.5093786555114355,0.7965201649360034,0.7911380633793905,1.0
5889,25,2,1,1300,1.7280000000000002,1.392,-0.336,0.336,3.12,2,2,0,0,4,149.82,1.4417,-0.22943000000000002,0.09393,-0.40655,0.40655,-0.10243,-1.9656,-0.9807,-0.10554000000000001,0.10554000000000001,-1.7758,-0.8324,1.7280000000000002,1.392,2,2,0.2688967513989907,-0.3126872890661713,-1.361383070747193,-1.3650698849091285,0.0
5890,25,2,1,1326,1.848,1.62,-0.228,0.228,3.468,3,6,0,0,9,146.5,1.5287,-0.025225,0.55362,-0.27851,0.27851,0.30155,-1.3491,1.0776,-0.10554000000000001,0.10554000000000001,-0.032809,-0.85301,1.848,1.62,3,6,0.4756468542385573,0.07779403460819224,-0.821907261826394,0.7911380633793905,0.0
5891,25,2,1,1292,0.888,0.996,0.10800000000000001,0.10800000000000001,1.8840000000000001,4,5,-1,1,9,120.08,1.415,-1.6588,-0.70448,0.11984000000000002,0.11984000000000002,-1.5372,-0.73258,0.563,-1.6007,1.6007,-0.032809,-1.0170000000000001,0.888,0.996,4,5,-1.178353968477977,-0.9908916933426968,-0.2824314529055948,0.25208607630726076,0.0
5892,25,2,1,843,1.68,1.8719999999999999,0.192,0.192,3.552,6,6,0,0,12,388.05,-0.086806,-0.31111,1.0617,0.21941999999999998,0.21941999999999998,0.39905999999999997,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,0.6465,1.68,1.8719999999999999,6,6,0.18619671026316356,0.5093786555114355,0.7965201649360034,0.7911380633793905,1.0
5893,25,2,0,1173,0.9359999999999999,0.8640000000000001,0.07200000000000001,0.07200000000000001,1.8,6,1,2,2,7,159.4,1.0170000000000001,-1.5771,-0.9706100000000001,0.077158,0.077158,-1.6348,0.50048,-1.4953,2.8847,2.8847,-0.73,-0.7729199999999999,0.8640000000000001,0.9359999999999999,1,6,-1.21970398904589,-1.0936499364148977,-1.9008588796679922,0.7911380633793905,0.0
5894,25,2,0,771,2.496,1.7280000000000002,0.768,0.768,4.224,6,2,0,0,8,472.0,-0.32763000000000003,1.0775,0.77136,0.9023,0.9023,1.1792,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,1.1676,1.7280000000000002,2.496,2,6,0.2688967513989907,1.5780643834623245,-1.361383070747193,0.7911380633793905,1.0
5895,25,2,1,1123,1.824,0.888,-0.9359999999999999,0.9359999999999999,2.7119999999999997,6,4,0,0,10,134.14,0.84972,-0.066065,-0.92222,-1.1179,1.1179,-0.57606,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,-0.92974,1.824,0.888,6,4,0.4342968336706439,-1.1758565308726583,0.7965201649360034,-0.286965910764869,0.0
5896,25,2,1,937,2.004,1.392,-0.612,0.612,3.3960000000000004,4,2,0,0,6,57.485,0.2276,0.24024,0.09393,-0.7337600000000001,0.7337600000000001,0.21796999999999997,-0.73258,-0.9807,-0.10554000000000001,0.10554000000000001,-1.0786,-1.4056,2.004,1.392,4,2,0.7444219879299939,-0.3126872890661713,-0.2824314529055948,-1.3650698849091285,0.0
5897,25,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,-2.9064,-3.1699,-2.7126,-0.0082012,0.0082012,-3.7243,-3.1987,-2.0098,-0.10554000000000001,0.10554000000000001,-3.1702,-1.7624,0.0,0.0,0,0,-2.708304729490771,-2.6966785283412307,-2.4403346885887913,-2.4431738590533882,0.0
5898,25,2,0,648,2.496,0.996,1.5,1.5,3.492,6,5,1,1,11,494.63,-0.73903,1.0775,-0.70448,1.7701,1.7701,0.32941,0.50048,0.563,1.3896,1.3896,0.66438,1.3081,0.996,2.496,5,6,-0.9922788759223669,1.5780643834623245,0.2570443560152043,0.7911380633793905,1.0
5899,25,2,1,1036,0.8640000000000001,1.284,0.42,0.42,2.148,1,6,2,2,7,97.225,0.5587300000000001,-1.6997,-0.12382,0.48973,0.48973,-1.2308,-2.5822,1.0776,2.8847,2.8847,-0.73,-1.1589,0.8640000000000001,1.284,1,6,-1.21970398904589,-0.4976521265961326,-1.9008588796679922,0.7911380633793905,0.0
5900,25,2,0,704,2.364,0.8640000000000001,1.5,1.5,3.228,6,1,2,2,7,443.85,-0.55172,0.8528399999999999,-0.9706100000000001,1.7701,1.7701,0.022944,0.50048,-1.4953,2.8847,2.8847,-0.73,0.9928299999999999,0.8640000000000001,2.364,1,6,-1.21970398904589,1.3519962487034825,-1.9008588796679922,0.7911380633793905,1.0
5901,25,2,1,525,1.62,1.392,-0.228,0.228,3.012,6,2,0,0,8,416.44,-1.1504,-0.41321,0.09393,-0.27851,0.27851,-0.2278,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,0.8227200000000001,1.62,1.392,6,2,0.08282165884338048,-0.3126872890661713,0.7965201649360034,-1.3650698849091285,1.0
5902,25,2,1,561,2.496,1.848,-0.648,0.648,4.343999999999999,6,3,0,0,9,475.05,-1.03,1.0775,1.0133,-0.77644,0.77644,1.3185,0.50048,-0.46613999999999994,-0.10554000000000001,0.10554000000000001,-0.032809,1.1865,2.496,1.848,6,3,1.5920974095722176,0.46827535828255545,0.7965201649360034,-0.8260178978369987,1.0
5903,25,2,0,721,1.8719999999999999,1.392,0.48,0.48,3.264,6,2,0,0,8,49.053999999999995,-0.49486,0.015615,0.09393,0.56086,0.56086,0.064735,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,-1.4579,1.392,1.8719999999999999,2,6,-0.3100035365517967,0.5093786555114355,-1.361383070747193,0.7911380633793905,0.0
5904,25,2,0,710,2.496,1.824,0.672,0.672,4.32,6,6,0,0,12,457.4,-0.53166,1.0775,0.9649200000000001,0.7884899999999999,0.7884899999999999,1.2906,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.0769,1.824,2.496,6,6,0.4342968336706439,1.5780643834623245,0.7965201649360034,0.7911380633793905,1.0
5905,25,2,0,772,1.8719999999999999,1.62,0.252,0.252,3.492,6,6,0,0,12,419.51,-0.32428,0.015615,0.55362,0.29056,0.29056,0.32941,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,0.84175,1.62,1.8719999999999999,6,6,0.08282165884338048,0.5093786555114355,0.7965201649360034,0.7911380633793905,1.0
5906,25,2,0,913,0.9359999999999999,1.62,-0.684,0.684,2.556,6,6,0,0,12,95.318,0.14733,-1.5771,0.55362,-0.81912,0.81912,-0.75715,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,-1.1707,1.62,0.9359999999999999,6,6,0.08282165884338048,-1.0936499364148977,0.7965201649360034,0.7911380633793905,0.0
5907,25,2,1,598,1.8719999999999999,1.9680000000000002,0.096,0.096,3.84,6,6,0,0,12,177.82,-0.90627,0.015615,1.2552,0.10561,0.10561,0.73339,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,-0.6586,1.8719999999999999,1.9680000000000002,6,6,0.5169968748064703,0.6737918444269573,0.7965201649360034,0.7911380633793905,0.0
5908,25,2,0,904,2.364,1.7280000000000002,0.636,0.636,4.092,6,2,0,0,8,440.85,0.11722,0.8528399999999999,0.77136,0.7458100000000001,0.7458100000000001,1.0259,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,0.97425,1.7280000000000002,2.364,2,6,0.2688967513989907,1.3519962487034825,-1.361383070747193,0.7911380633793905,1.0
5909,25,2,0,865,1.68,0.7440000000000001,0.9359999999999999,0.9359999999999999,2.424,6,2,0,0,8,148.27,-0.013222,-0.31111,-1.2126,1.1015,1.1015,-0.91038,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,-0.8419700000000001,0.7440000000000001,1.68,2,6,-1.426454091885457,0.1805522776803928,-1.361383070747193,0.7911380633793905,0.0
5910,25,2,1,1265,1.824,0.996,-0.828,0.828,2.82,6,5,-1,1,11,335.76,1.3247,-0.066065,-0.70448,-0.9898399999999999,0.9898399999999999,-0.45068,0.50048,0.563,-1.6007,1.6007,0.66438,0.32188,1.824,0.996,6,5,0.4342968336706439,-0.9908916933426968,0.7965201649360034,0.25208607630726076,0.0
5911,25,2,0,711,1.68,1.7280000000000002,-0.048,0.048,3.408,6,2,0,0,8,171.2,-0.5283100000000001,-0.31111,0.77136,-0.065108,0.065108,0.2319,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,-0.69963,1.7280000000000002,1.68,2,6,0.2688967513989907,0.1805522776803928,-1.361383070747193,0.7911380633793905,0.0
5912,25,2,1,1005,1.824,1.284,-0.54,0.54,3.108,6,6,0,0,12,139.42,0.45503999999999994,-0.066065,-0.12382,-0.6484,0.6484,-0.11635999999999999,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,-0.8969600000000001,1.824,1.284,6,6,0.4342968336706439,-0.4976521265961326,0.7965201649360034,0.7911380633793905,0.0
