,parcode,rt,choice,trial,item_left,item_right
3169,32,2067,-1,49,0.20502614999367566,0.20502614999367522
3170,32,6613,-1,50,0.20502614999367566,-0.4049690070123032
3171,32,2693,1,51,-0.40496900701230276,0.5100237284966648
3172,32,1925,-1,52,-0.709966585515292,-0.4049690070123032
3173,32,2451,-1,53,-0.09997142850931343,-0.4049690070123032
3174,32,2078,-1,54,-0.709966585515292,-0.4049690070123032
3175,32,1469,1,55,-0.40496900701230276,-0.8116324450162888
3176,32,3927,1,56,-0.09997142850931343,1.4250164640056324
3177,32,2599,-1,57,-0.09997142850931343,1.4250164640056324
3178,32,1374,-1,58,0.5100237284966652,-0.4049690070123032
3179,32,3849,-1,59,0.20502614999367566,0.5100237284966648
3180,32,2617,-1,60,-1.7266251805252562,1.4250164640056324
3181,32,1495,1,61,0.20502614999367566,-0.4049690070123032
3182,32,14139,1,62,2.3400091995146006,1.4250164640056324
3183,32,1621,1,63,0.5100237284966652,1.4250164640056324
3184,32,2360,1,64,-1.7266251805252562,0.20502614999367522
3185,32,1419,-1,65,-1.7266251805252562,1.4250164640056324
3186,32,1320,-1,66,-0.709966585515292,1.7300140425086215
3187,32,2079,-1,67,-0.709966585515292,-1.4216276020222673
3188,32,2503,1,68,-0.40496900701230276,-0.7099665855152925
3189,32,4697,1,69,0.20502614999367566,0.20502614999367522
3190,32,2904,1,70,-1.421627602022267,0.20502614999367522
3191,32,2019,-1,71,-0.8116324450162884,0.5100237284966648
3192,32,2119,-1,72,-0.709966585515292,-0.4049690070123032
3193,32,3313,1,73,-0.40496900701230276,-0.7099665855152925
3194,32,2779,-1,74,2.3400091995146006,-0.4049690070123032
3195,32,2323,1,75,-0.40496900701230276,0.20502614999367522
3196,32,3587,1,76,0.8150213069996542,-0.4049690070123032
3197,32,5054,1,77,-0.09997142850931343,0.8150213069996538
3198,32,10933,-1,78,0.5100237284966652,-0.4049690070123032
3199,32,1969,-1,79,2.3400091995146006,1.7300140425086215
3200,32,2672,1,80,-0.40496900701230276,-1.7266251805252568
3201,32,2326,-1,81,-1.7266251805252562,0.20502614999367522
3202,32,3109,-1,82,-0.709966585515292,-0.09997142850931387
3203,32,8439,-1,83,0.5100237284966652,2.3400091995146
3204,32,7520,-1,84,1.4250164640056329,-0.09997142850931387
3205,32,2417,1,85,2.3400091995146006,-0.7099665855152925
3206,32,2522,-1,86,0.8150213069996542,-0.09997142850931387
3207,32,3021,1,87,1.4250164640056329,-1.7266251805252568
3208,32,1651,1,88,1.4250164640056329,-1.7266251805252568
3209,32,5081,-1,89,-0.40496900701230276,-0.4049690070123032
3210,32,3538,-1,90,-0.40496900701230276,0.5100237284966648
3211,32,2058,-1,91,1.4250164640056329,2.3400091995146
3212,32,1332,-1,92,-0.8116324450162884,-0.4049690070123032
3213,32,1279,-1,93,-0.709966585515292,-0.4049690070123032
3214,32,1766,1,94,-0.40496900701230276,2.3400091995146
3215,32,1993,1,95,-0.40496900701230276,1.4250164640056324
3216,32,3741,1,96,-0.40496900701230276,0.20502614999367522
3217,32,1568,-1,97,1.4250164640056329,0.20502614999367522
3218,32,2885,1,98,0.20502614999367566,0.20502614999367522
3219,32,4836,-1,99,0.5100237284966652,0.20502614999367522
3220,32,3805,1,100,0.20502614999367566,-1.7266251805252568
3221,32,2083,-1,101,0.5100237284966652,-0.09997142850931387
3222,32,2144,1,102,-1.3199617425212706,-1.7266251805252568
3223,32,1048,-1,103,0.5100237284966652,-0.4049690070123032
3224,32,2220,-1,104,-0.40496900701230276,-0.4049690070123032
3225,32,4032,1,105,-0.40496900701230276,0.5100237284966648
3226,32,1542,-1,106,1.4250164640056329,0.5100237284966648
3227,32,2121,1,107,0.5100237284966652,-1.7266251805252568
