Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,145,1,144,2,381,1.55,2.83,1.55,5.0,6,4,1,3,1.0,3.0,1058,264.5,1583
0,146,0,178,1,566,,,1.55,1.08,16,14,1,9,1.0,8.0,4662,333.0,5406
0,147,1,368,2,293,1.25,4.08,2.0,5.0,7,5,1,3,1.0,3.0,1757,351.4,2418
0,148,1,332,1,116,1.4,3.58,1.4,3.58,16,14,1,10,1.0,9.0,4750,339.2857142857143,5198
0,149,1,308,2,528,1.1,4.08,1.85,4.58,12,10,1,6,1.0,6.0,3265,326.5,4101
0,150,1,282,2,447,1.55,4.33,2.0,5.0,10,8,1,5,1.0,5.0,2438,304.75,3167
0,151,2,255,1,350,0.95,3.58,1.85,5.0,7,5,1,3,2.0,3.0,1070,214.0,1675
0,152,0,224,2,263,,,2.0,4.83,7,5,2,3,1.0,2.0,1168,233.6,1655
0,153,2,278,1,488,1.1,0.33,1.55,2.58,6,4,1,3,1.0,2.0,1104,276.0,1870
0,154,2,236,1,423,1.1,4.83,1.55,3.33,8,6,1,4,1.0,3.0,1978,329.6666666666667,2637
0,155,2,229,2,432,2.0,4.33,2.0,4.33,11,9,1,5,1.0,5.0,2952,328.0,3613
0,156,1,200,1,308,2.3,5.0,2.3,5.0,6,4,1,3,1.0,2.0,1346,336.5,1854
0,157,1,208,1,148,2.0,4.83,2.0,4.83,7,5,1,4,1.0,3.0,1643,328.6,1999
0,158,2,10,1,597,1.1,4.08,2.0,4.75,7,5,1,3,2.0,3.0,1372,274.4,1979
0,159,2,257,1,110,1.1,4.75,2.3,5.0,8,6,1,4,1.0,3.0,1620,270.0,1987
0,160,1,304,1,312,0.35,4.33,0.35,4.33,5,3,1,3,1.0,2.0,957,319.0,1573
0,161,1,376,2,174,1.85,5.0,1.85,4.08,6,4,2,3,1.0,2.0,1162,290.5,1712
0,162,1,222,1,46,1.55,1.08,1.55,1.08,7,5,1,4,1.0,3.0,1772,354.4,2040
