parcode,trial,fix_item,fix_time,rt,block
1,109,1,722,2602,2.0
1,109,2,630,2602,2.0
1,109,1,992,2602,2.0
1,110,3,249,3239,2.0
1,110,1,650,3239,2.0
1,110,2,866,3239,2.0
1,110,0,390,3239,2.0
1,110,1,524,3239,2.0
1,110,2,560,3239,2.0
1,111,3,256,1943,2.0
1,111,1,568,1943,2.0
1,111,2,662,1943,2.0
1,111,1,457,1943,2.0
1,112,3,261,3627,2.0
1,112,1,712,3627,2.0
1,112,2,646,3627,2.0
1,112,1,902,3627,2.0
1,112,2,540,3627,2.0
1,112,1,566,3627,2.0
1,113,3,39,6245,2.0
1,113,0,212,6245,2.0
1,113,1,562,6245,2.0
1,113,2,720,6245,2.0
1,113,1,1374,6245,2.0
1,113,2,1046,6245,2.0
1,113,1,982,6245,2.0
1,113,2,828,6245,2.0
1,113,1,482,6245,2.0
1,114,3,239,4574,2.0
1,114,1,1612,4574,2.0
1,114,2,1008,4574,2.0
1,114,1,1160,4574,2.0
1,114,2,555,4574,2.0
1,115,3,195,4327,2.0
1,115,1,740,4327,2.0
1,115,2,938,4327,2.0
1,115,1,1522,4327,2.0
1,115,2,932,4327,2.0
1,116,3,0,4327,2.0
1,116,2,472,6247,2.0
1,116,1,1314,6247,2.0
1,116,2,1158,6247,2.0
1,116,1,1170,6247,2.0
1,116,2,866,6247,2.0
1,116,1,1267,6247,2.0
1,117,3,250,2353,2.0
1,117,1,546,2353,2.0
1,117,2,868,2353,2.0
1,117,1,689,2353,2.0
1,118,3,231,4758,2.0
1,118,1,628,4758,2.0
1,118,2,886,4758,2.0
1,118,1,1156,4758,2.0
1,118,2,596,4758,2.0
1,118,1,292,4758,2.0
1,118,0,240,4758,2.0
1,118,1,729,4758,2.0
1,119,3,232,2715,2.0
1,119,1,636,2715,2.0
1,119,2,736,2715,2.0
1,119,1,1111,2715,2.0
1,120,3,983,3454,1.0
1,120,1,350,3454,1.0
1,120,2,828,3454,1.0
1,120,1,668,3454,1.0
1,120,2,625,3454,1.0
1,121,3,240,2478,1.0
1,121,1,650,2478,1.0
1,121,2,470,2478,1.0
1,121,1,364,2478,1.0
1,121,2,754,2478,1.0
1,122,3,209,1728,1.0
1,122,1,530,1728,1.0
1,122,2,989,1728,1.0
1,123,3,188,2014,1.0
1,123,1,634,2014,1.0
1,123,2,754,2014,1.0
1,123,1,438,2014,1.0
