,Part,TrialN,PairID,L_Item,L_Value,R_Item,R_Value,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,L_IA_DT,R_IA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,FamLeft,FamRight,Tot_Fam,Tot_Val,FamChosen,FamUnChosen,ValChosen,ValUnChosen,Correct,ZtotFam,ZtotVal,ZValCh,ZValUnCh,ZFamCh,ZFamUnCh,ztGSF,ztDDT,absDDT,ConfSplit,GSFMedSplit,DDTMedSplit,absDDTMedSplit,,higher,lower,,higher,lower,,higher,lower
22,1,23,47,51_smarties.png,1.7,34_hobnob_flapjack.png,1.55,1,4550,78,1403,2,-544,2188,1644,3,2,-0.15,-0.242061459,0.15,-0.988497522,0.43256511,0.868002167,5,1.08,6.08,3.25,1.08,5,1.55,1.7,1,-0.707055052,0.403961188,0.128805594,0.443865756,-1.96046222,0.854304728,0.335643363,-0.773216301,0.773216301,1,1,0,1,,0,-0.773216301,,0.43256511,0,,0.335643363,0
23,1,24,34,19_pistachios.png,1.7,110_bombay_mix.png,1.4,1,2973,62,2855,2,1171,592,1763,1,2,-0.3,-0.484122918,0.3,-0.570822512,-0.764156809,-0.124734738,4.33,3.58,7.91,3.1,3.58,4.33,1.4,1.7,1,0.153257943,0.16633696,-0.214675991,0.443865756,-0.167274525,0.388652038,-1.156104918,1.652514107,1.652514107,0,1,0,1,,0,1.652514107,,0,-0.764156809,,-1.156104918,0
24,1,25,15,57_food_doctor_mild_korma_crisps.png,1.25,108_chilli_nuts.png,1.7,0,2824,68,2666,2,99,1095,1194,2,1,0.45,0.726184377,0.45,-0.153147503,-0.315386089,-0.218531693,0.08,3.33,3.41,2.95,0.08,3.33,1.25,1.7,1,-1.962265815,-0.071287268,-0.558157576,0.443865756,-2.677737298,-0.306351979,-0.410230777,0.136255799,0.136255799,0,0,0,0,,0,0.136255799,,0,-0.315386089,,0,-0.410230777
25,1,26,5,113_walkers_cheese.png,2,32_snickers.png,2.3,0,3643,70,2331,2,-812,1858,1046,4,1,0.3,0.484122918,0.3,-0.570822512,-0.165795849,0.297036807,4.33,5,9.33,4.3,4.33,5,2,2.3,1,0.820823218,2.067330786,1.15925035,1.783837851,0.370681783,0.854304728,1.081517504,-1.152280878,1.152280878,0,1,1,0,,-1.152280878,0,,0,-0.165795849,,1.081517504,0
26,1,27,46,112_lindt_extra_creamy.png,1.85,104_graze_sriracha.png,0.65,1,2188,72,2191,2,389,680,1069,1,2,-1.2,-1.936491673,1.2,1.935227542,-0.016205609,-0.618899906,4.08,0.33,4.41,2.5,0.33,4.08,0.65,1.85,1,-1.492149424,-0.784159953,-1.932083917,0.77885878,-2.498418529,0.214901034,-1.156104918,0.546437618,0.546437618,1,1,1,0,,0.546437618,0,,-0.016205609,0,,-1.156104918,0
27,1,28,50,63_kitkat.png,1.85,20_crunch.png,1.1,1,3321,74,2863,2,1153,830,1983,3,2,-0.75,-1.210307296,0.75,0.682202515,0.133384631,0.094334662,5,0.83,5.83,2.95,0.83,5,1.1,1.85,1,-0.824584149,-0.071287268,-0.901639161,0.77885878,-2.13978099,0.854304728,0.335643363,1.627054546,1.627054546,1,0,1,0,,1.627054546,0,,0.133384631,0,,0,0.335643363
28,1,29,43,103_nakd_berry.png,1.85,35_mms_plain.png,2,0,6784,82,2539,2,-498,3186,2688,4,1,0.15,0.242061459,0.15,-0.988497522,0.73174559,2.27432699,2.58,4.83,7.41,3.85,2.58,4.83,1.85,2,1,-0.081800252,1.354458101,0.815768765,1.113851804,-0.884549603,0.736154046,1.081517504,-0.708152978,0.708152978,1,0,0,0,,0,-0.708152978,,0.73174559,0,,0,1.081517504
29,1,30,11,18_galaxy_bar.png,1.1,32_snickers.png,2.3,0,2314,82,2320,2,153,825,978,2,1,1.2,1.936491673,1.2,1.935227542,0.73174559,-0.539581675,4.75,5,9.75,3.4,4.75,5,1.1,2.3,1,1.018272102,0.641585416,-0.901639161,1.783837851,0.671937316,0.854304728,-0.410230777,0.212634483,0.212634483,1,0,0,0,,0,0.212634483,,0.73174559,0,,0,-0.410230777
30,1,31,8,115_shapers_blueberry.png,1.1,43_mccoys_steak_crisps.png,2,0,2952,80,1805,2,-929,1655,726,2,1,0.9,1.452368755,0.9,1.099877524,0.58215535,-0.137954443,1.33,5,6.33,3.1,1.33,5,1.1,2,1,-0.589525954,0.16633696,-0.901639161,1.113851804,-1.781143451,0.854304728,-0.410230777,-1.317768025,1.317768025,1,1,1,0,,-1.317768025,0,,0.58215535,0,,-0.410230777,0
31,1,32,60,57_food_doctor_mild_korma_crisps.png,1.25,110_bombay_mix.png,1.4,0,8388,46,2465,2,-549,4045,3496,4,1,0.15,0.242061459,0.15,-0.988497522,-1.960878727,3.284060659,0.08,3.58,3.66,2.65,0.08,3.58,1.25,1.4,1,-1.844736717,-0.546535725,-0.558157576,-0.226120291,-2.677737298,-0.132600975,1.081517504,-0.780288401,0.780288401,0,1,0,0,,0,-0.780288401,,0,-1.960878727,,1.081517504,0
